record_id,date,week,month,annotator_id,annotator_name,annotator_level,project_id,project_name,task_type,annotations_count,avg_review_time_sec,accuracy_rate,flagged_count,throughput_per_hour
1,2025-01-15,3,2025-01,A01,Aisha Patel,senior,P001,ClaimScore Survey,claim_verification,98,48.7,0.9394,5,7244.4
2,2025-01-15,3,2025-01,A02,James Liu,senior,P001,ClaimScore Survey,claim_verification,129,48.2,0.913,11,9634.9
3,2025-01-15,3,2025-01,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,123,52.9,0.8712,15,8370.5
4,2025-01-15,3,2025-01,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,86,35.3,0.8814,10,8770.5
5,2025-01-15,3,2025-01,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,76,52.3,0.791,15,5231.4
6,2025-01-15,3,2025-01,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,29,80.1,0.8089,5,1303.4
7,2025-01-15,3,2025-01,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,36,27.7,0.9586,1,4678.7
8,2025-01-16,3,2025-01,A01,Aisha Patel,senior,P001,ClaimScore Survey,claim_verification,79,49.7,0.8773,9,5722.3
9,2025-01-16,3,2025-01,A01,Aisha Patel,senior,P002,Wildfire Detection,entity_classification,69,34.8,0.9155,5,7137.9
10,2025-01-16,3,2025-01,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,97,25.5,0.9512,4,13694.1
11,2025-01-16,3,2025-01,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,48,61.6,0.8895,5,2805.2
12,2025-01-16,3,2025-01,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,32,74.2,0.8112,6,1552.6
13,2025-01-16,3,2025-01,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,77,31.1,0.8369,12,8913.2
14,2025-01-16,3,2025-01,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,61,101.2,0.8003,12,2170.0
15,2025-01-16,3,2025-01,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,48,49.6,0.7413,12,3483.9
16,2025-01-16,3,2025-01,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,44,35.3,0.9423,2,4487.3
17,2025-01-17,3,2025-01,A01,Aisha Patel,senior,P001,ClaimScore Survey,claim_verification,98,40.6,0.9297,6,8689.7
